title,ingredients,state,diet,meal_time,dish_type,calories,protein,fat,carbs,sodium,nutrition_basis,slot_portion_g,calories_slot,protein_slot,fat_slot,carbs_slot,sodium_slot,calculation_method,source_url,calculation_notes,sodium_slot_mg,sodium_mg_100g,condition,diet_enc,meal_time_enc,dish_type_enc
Cabbage Poriyal,"Cabbage, green, Onion, big, Coconut, kernel, fresh, Chillies, green - all varieties, Mustard seeds, Gingelly oil, Table salt (sodium from NaCl), Water",Tamil Nadu,vegetarian,lunch/dinner,side,70.3,1.5,5.2,4,0.249,per 100 g finished dish,400,281.2,6,20.8,16,0.996,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Cabbage poriyal with coconut; per 100 g finished dish.,996,249,hypertension,1,4,2
Carrot Poriyal,"Carrot, orange, Onion, big, Coconut, kernel, fresh, Chillies, green - all varieties, Mustard seeds, Gingelly oil, Table salt (sodium from NaCl), Water",Tamil Nadu,vegetarian,lunch/dinner,side,84.1,1.3,6,5.7,0.303,per 100 g finished dish,400,336.4,5.2,24,22.8,1.212,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Carrot poriyal with coconut; per 100 g finished dish.,1212,303,hypertension,1,4,2
Cauliflower Poriyal,"Cauliflower, Onion, big, Coconut, kernel, fresh, Chillies, green - all varieties, Mustard seeds, Gingelly oil, Table salt (sodium from NaCl), Water",Tamil Nadu,vegetarian,lunch/dinner,side,65.8,1.9,5,3,0.258,per 100 g finished dish,400,263.2,7.6,20,12,1.032,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Cauliflower poriyal with coconut; per 100 g finished dish.,1032,258,hypertension,1,4,2
Lemon Rasam,"Tamarind, pulp, Tomato, ripe, local, Cumin seeds, Pepper, black, Coriander seeds, Curry leaves, Lemon, juice, Garlic, big cloves, Table salt (sodium from NaCl), Water",Tamil Nadu,vegetarian,lunch/dinner,side,8.9,0.3,0.2,1.3,0.202,per 100 g finished dish,400,35.6,1.2,0.8,5.2,0.808,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Lemon rasam; per 100 g finished dish.,808,202,hypertension,1,4,2
Pepper Rasam,"Tamarind, pulp, Garlic, big cloves, Cumin seeds, Pepper, black, Coriander seeds, Curry leaves, Table salt (sodium from NaCl), Tomato, ripe, local, Water",Tamil Nadu,vegetarian,lunch/dinner,side,12.8,0.4,0.2,2.2,0.209,per 100 g finished dish,400,51.2,1.6,0.8,8.8,0.836,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Pepper rasam; per 100 g finished dish.,836,209,hypertension,1,4,2
Potato Poriyal,"Potato, brown skin, big, Onion, big, Mustard seeds, Turmeric powder, Curry leaves, Groundnut oil, Table salt (sodium from NaCl)",Tamil Nadu,vegetarian,lunch/dinner,side,91.1,1.7,3.1,13.5,0.521,per 100 g finished dish,400,364.4,6.8,12.4,54,2.084,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Potato poriyal; per 100 g finished dish.,2084,521,hypertension,1,4,2
Rasam,"Tomato, ripe, local, Tamarind, pulp, Garlic, big cloves, Pepper, black, Cumin seeds, Coriander leaves, Curry leaves, Mustard seeds, Gingelly oil, Table salt (sodium from NaCl), Water",Tamil Nadu,vegetarian,lunch/dinner,side,15.5,0.4,0.6,1.9,0.2,per 100 g finished dish,400,62,1.6,2.4,7.6,0.8,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Standard tomato-pepper rasam; per 100 g finished dish.,800,200,healthy,1,4,2
Raw Banana Roast,"Plantain, green, Onion, big, Chillies, red, Turmeric powder, Mustard seeds, Groundnut oil, Table salt (sodium from NaCl)",Tamil Nadu,vegetarian,lunch/dinner,side,109,1.4,3.9,16.3,0.578,per 100 g finished dish,400,436,5.6,15.6,65.2,2.312,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Raw banana roast; per 100 g finished dish.,2312,578,hypertension,1,4,2
Sambar,"Red gram, dal, Drumstick, Onion, big, Tomato, ripe, local, Tamarind, pulp, Gingelly oil, Chillies, red, Coriander seeds, Turmeric powder, Asafoetida, Mustard seeds, Curry leaves, Table salt (sodium from NaCl), Water",Tamil Nadu,vegetarian,lunch/dinner,side,58.1,2.9,1.2,8.4,0.269,per 100 g finished dish,400,232.4,11.6,4.8,33.6,1.076,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Drumstick-onion sambar; per 100 g finished dish.,1076,269,hypertension,1,4,2
Spinach Kootu,"Spinach, Red gram, dal, Coconut, kernel, fresh, Cumin seeds, Chillies, green - all varieties, Turmeric powder, Table salt (sodium from NaCl), Water",Tamil Nadu,vegetarian,lunch/dinner,side,49,2.3,2.1,5,0.254,per 100 g finished dish,400,196,9.2,8.4,20,1.016,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Spinach kootu; per 100 g finished dish.,1016,254,hypertension,1,4,2
Spinach Poriyal,"Spinach, Onion, big, Coconut, kernel, fresh, Mustard seeds, Chillies, red, Groundnut oil, Table salt (sodium from NaCl)",Tamil Nadu,vegetarian,lunch/dinner,side,88.2,2.3,6.8,4.1,0.476,per 100 g finished dish,400,352.8,9.2,27.2,16.4,1.904,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Spinach poriyal; per 100 g finished dish.,1904,476,hypertension,1,4,2
Tomato Rasam,"Tomato, ripe, local, Tamarind, pulp, Garlic, big cloves, Cumin seeds, Pepper, black, Coriander seeds, Curry leaves, Table salt (sodium from NaCl), Water",Tamil Nadu,vegetarian,lunch/dinner,side,12.7,0.4,0.2,2.2,0.198,per 100 g finished dish,400,50.8,1.6,0.8,8.8,0.792,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Tomato rasam; per 100 g finished dish.,792,198,healthy,1,4,2
Vegetable Biryani,"Rice, raw, milled, Onion, big, Tomato, ripe, local, Potato, brown skin, big, Carrot, orange, French beans, country, Peas, fresh, Milk, whole, Cow, Ghee, Gingelly oil, Ginger, fresh, Garlic, big cloves, Chillies, green - all varieties, Coriander leaves, Table salt (sodium from NaCl), Water",Tamil Nadu,vegetarian,lunch/dinner,main,115.3,2.7,2.7,19.5,0.32,per 100 g finished dish,400,461.2,10.8,10.8,78,1.28,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Vegetable biryani; per 100 g finished dish.,1280,320,diabetes,1,4,1
Vegetable Kurma,"Potato, brown skin, big, Carrot, orange, French beans, country, Peas, fresh, Onion, big, Tomato, ripe, local, Coconut, kernel, fresh, Chillies, green - all varieties, Ginger, fresh, Garlic, big cloves, Cumin seeds, Turmeric powder, Gingelly oil, Table salt (sodium from NaCl), Water",Tamil Nadu,vegetarian,lunch/dinner,side,50.3,1.2,3.2,4,0.185,per 100 g finished dish,400,201.2,4.8,12.8,16,0.74,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Mixed vegetable kurma; per 100 g finished dish.,740,185,healthy,1,4,2
White Rice,"Rice, raw, milled, Water",Tamil Nadu,vegetarian,lunch/dinner,side,106.9,2.4,0.2,23.5,0.001,per 100 g finished dish,400,427.6,9.6,0.8,94,0.004,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Plain cooked white rice; per 100 g finished dish.,4,1,healthy,1,4,2
White Rice + Avial,"Rice, raw, milled, Water, Chillies, green - all varieties, Milk, whole, Cow, Curry leaves, Turmeric powder, Cumin seeds, Coconut oil, Coconut, kernel, fresh, Drumstick, French beans, country, Carrot, orange, Ash gourd, Plantain, green, Table salt (sodium from NaCl)",Tamil Nadu,vegetarian,lunch/dinner,main,96,2,3,14.9,0.137,per 100 g finished dish,400,384,8,12,59.6,0.548,Weighted combination of IFCT-based component dishes,https://www.nin.res.in/ebooks/IFCT2017.pdf,Rice and avial combo; per 100 g finished dish.,548,137,healthy,1,4,1
White Rice + Beans Poriyal,"Rice, raw, milled, Water, French beans, country, Gingelly oil, Mustard seeds, Chillies, green - all varieties, Coconut, kernel, fresh, Onion, big, Table salt (sodium from NaCl)",Tamil Nadu,vegetarian,lunch/dinner,main,97.7,2.4,2.5,16.1,0.102,per 100 g finished dish,400,390.8,9.6,10,64.4,0.408,Weighted combination of IFCT-based component dishes,https://www.nin.res.in/ebooks/IFCT2017.pdf,Rice and beans poriyal combo; per 100 g finished dish.,408,102,healthy,1,4,1
White Rice + Brinjal Kara Kuzhambu,"Rice, raw, milled, Water, Chillies, red, Coriander seeds, Turmeric powder, Curry leaves, Table salt (sodium from NaCl), Garlic, big cloves, Tamarind, pulp, Tomato, ripe, local, Gingelly oil, Brinjal 1, Mustard seeds, Onion, small",Tamil Nadu,vegetarian,lunch/dinner,main,80.9,1.9,1.2,15.2,0.12,per 100 g finished dish,400,323.6,7.6,4.8,60.8,0.48,Weighted combination of IFCT-based component dishes,https://www.nin.res.in/ebooks/IFCT2017.pdf,Rice and brinjal kara kuzhambu combo; per 100 g finished dish.,480,120,healthy,1,4,1
White Rice + Cabbage Kootu,"Rice, raw, milled, Water, Cabbage, green, Red gram, dal, Coconut, kernel, fresh, Cumin seeds, Chillies, green - all varieties, Turmeric powder, Table salt (sodium from NaCl)",Tamil Nadu,vegetarian,lunch/dinner,main,80.5,2.3,1,15.3,0.112,per 100 g finished dish,400,322,9.2,4,61.2,0.448,Weighted combination of IFCT-based component dishes,https://www.nin.res.in/ebooks/IFCT2017.pdf,Rice and cabbage kootu combo; per 100 g finished dish.,448,112,healthy,1,4,1
White Rice + Cabbage Poriyal,"Rice, raw, milled, Water, Table salt (sodium from NaCl), Gingelly oil, Chillies, green - all varieties, Coconut, kernel, fresh, Onion, big, Cabbage, green, Mustard seeds",Tamil Nadu,vegetarian,lunch/dinner,main,93.2,2.1,2.1,16.2,0.094,per 100 g finished dish,400,372.8,8.4,8.4,64.8,0.376,Weighted combination of IFCT-based component dishes,https://www.nin.res.in/ebooks/IFCT2017.pdf,Rice and cabbage poriyal combo; per 100 g finished dish.,376,94,healthy,1,4,1
White Rice + Keerai Masiyal,"Rice, raw, milled, Water, Table salt (sodium from NaCl), Chillies, green - all varieties, Red gram, dal, Garlic, big cloves, Tomato, ripe, local, Onion, big, Amaranth leaves, green, Cumin seeds, Gingelly oil",Tamil Nadu,vegetarian,lunch/dinner,main,82,2.7,0.8,15.5,0.13,per 100 g finished dish,400,328,10.8,3.2,62,0.52,Weighted combination of IFCT-based component dishes,https://www.nin.res.in/ebooks/IFCT2017.pdf,Rice and keerai masiyal combo; per 100 g finished dish.,520,130,healthy,1,4,1
White Rice + Kootu,"Rice, raw, milled, Water, Gingelly oil, Table salt (sodium from NaCl), Ash gourd, Carrot, orange, Green gram, dal, Cumin seeds, Chillies, green - all varieties, Turmeric powder, Coconut, kernel, fresh",Tamil Nadu,vegetarian,lunch/dinner,main,93.9,2.6,2,16,0.142,per 100 g finished dish,400,375.6,10.4,8,64,0.568,Weighted combination of IFCT-based component dishes,https://www.nin.res.in/ebooks/IFCT2017.pdf,Rice and kootu combo; per 100 g finished dish.,568,142,healthy,1,4,1
White Rice + Lemon Rasam,"Rice, raw, milled, Water, Tamarind, pulp, Tomato, ripe, local, Cumin seeds, Pepper, black, Coriander seeds, Curry leaves, Lemon, juice, Garlic, big cloves, Table salt (sodium from NaCl)",Tamil Nadu,vegetarian,lunch/dinner,main,62.8,1.4,0.2,13.5,0.091,per 100 g finished dish,400,251.2,5.6,0.8,54,0.364,Weighted combination of IFCT-based component dishes,https://www.nin.res.in/ebooks/IFCT2017.pdf,Rice and lemon rasam combo; per 100 g finished dish.,364,91,healthy,1,4,1
White Rice + Pepper Rasam,"Rice, raw, milled, Water, Tamarind, pulp, Garlic, big cloves, Cumin seeds, Pepper, black, Coriander seeds, Curry leaves, Table salt (sodium from NaCl), Tomato, ripe, local",Tamil Nadu,vegetarian,lunch/dinner,main,64.5,1.5,0.2,13.9,0.095,per 100 g finished dish,400,258,6,0.8,55.6,0.38,Weighted combination of IFCT-based component dishes,https://www.nin.res.in/ebooks/IFCT2017.pdf,Rice and pepper rasam combo; per 100 g finished dish.,380,95,healthy,1,4,1
White Rice + Potato Poriyal,"Rice, raw, milled, Water, Potato, brown skin, big, Onion, big, Mustard seeds, Turmeric powder, Curry leaves, Groundnut oil, Table salt (sodium from NaCl)",Tamil Nadu,vegetarian,lunch/dinner,main,101,2.1,1.3,19.7,0.196,per 100 g finished dish,400,404,8.4,5.2,78.8,0.784,Weighted combination of IFCT-based component dishes,https://www.nin.res.in/ebooks/IFCT2017.pdf,Rice and potato poriyal combo; per 100 g finished dish.,784,196,diabetes,1,4,1
White Rice + Rasam,"Rice, raw, milled, Water, Mustard seeds, Curry leaves, Coriander leaves, Cumin seeds, Pepper, black, Garlic, big cloves, Tamarind, pulp, Tomato, ripe, local, Gingelly oil, Table salt (sodium from NaCl)",Tamil Nadu,vegetarian,lunch/dinner,main,65.8,1.5,0.4,13.8,0.09,per 100 g finished dish,400,263.2,6,1.6,55.2,0.36,Weighted combination of IFCT-based component dishes,https://www.nin.res.in/ebooks/IFCT2017.pdf,Rice and rasam combo; per 100 g finished dish.,360,90,healthy,1,4,1
White Rice + Rasam + Potato Poriyal,"Rice, raw, milled, Water, Mustard seeds, Curry leaves, Coriander leaves, Cumin seeds, Pepper, black, Garlic, big cloves, Tamarind, pulp, Tomato, ripe, local, Gingelly oil, Table salt (sodium from NaCl), Potato, brown skin, big, Onion, big, Turmeric powder, Groundnut oil",Tamil Nadu,vegetarian,lunch/dinner,main,73.6,1.6,1,14.2,0.182,per 100 g finished dish,400,294.4,6.4,4,56.8,0.728,Weighted combination of IFCT-based component dishes,https://www.nin.res.in/ebooks/IFCT2017.pdf,"Rice, rasam and potato poriyal combo; per 100 g finished dish.",728,182,healthy,1,4,1
White Rice + Raw Banana Roast,"Rice, raw, milled, Water, Plantain, green, Onion, big, Chillies, red, Turmeric powder, Mustard seeds, Groundnut oil, Table salt (sodium from NaCl)",Tamil Nadu,vegetarian,lunch/dinner,main,107.7,2,1.6,20.8,0.217,per 100 g finished dish,400,430.8,8,6.4,83.2,0.868,Weighted combination of IFCT-based component dishes,https://www.nin.res.in/ebooks/IFCT2017.pdf,Rice and raw banana roast combo; per 100 g finished dish.,868,217,diabetes,1,4,1
White Rice + Sambar,"Rice, raw, milled, Water, Chillies, red, Coriander seeds, Turmeric powder, Gingelly oil, Tamarind, pulp, Asafoetida, Onion, big, Drumstick, Red gram, dal, Table salt (sodium from NaCl), Mustard seeds, Tomato, ripe, local, Curry leaves",Tamil Nadu,vegetarian,lunch/dinner,main,84.9,2.6,0.6,16.7,0.121,per 100 g finished dish,400,339.6,10.4,2.4,66.8,0.484,Weighted combination of IFCT-based component dishes,https://www.nin.res.in/ebooks/IFCT2017.pdf,Rice and sambar combo; per 100 g finished dish.,484,121,healthy,1,4,1
White Rice + Sambar + Beans Poriyal,"Rice, raw, milled, Water, Chillies, red, Coriander seeds, Turmeric powder, Gingelly oil, Tamarind, pulp, Asafoetida, Onion, big, Drumstick, Red gram, dal, Table salt (sodium from NaCl), Mustard seeds, Tomato, ripe, local, Curry leaves, French beans, country, Chillies, green - all varieties, Coconut, kernel, fresh",Tamil Nadu,vegetarian,lunch/dinner,main,85.5,2.5,1.9,14.1,0.149,per 100 g finished dish,400,342,10,7.6,56.4,0.596,Weighted combination of IFCT-based component dishes,https://www.nin.res.in/ebooks/IFCT2017.pdf,"Rice, sambar and beans poriyal combo; per 100 g finished dish.",596,149,healthy,1,4,1
White Rice + Spinach Kootu,"Rice, raw, milled, Water, Spinach, Red gram, dal, Coconut, kernel, fresh, Cumin seeds, Chillies, green - all varieties, Turmeric powder, Table salt (sodium from NaCl)",Tamil Nadu,vegetarian,lunch/dinner,main,80.8,2.4,1,15.2,0.115,per 100 g finished dish,400,323.2,9.6,4,60.8,0.46,Weighted combination of IFCT-based component dishes,https://www.nin.res.in/ebooks/IFCT2017.pdf,Rice and spinach kootu combo; per 100 g finished dish.,460,115,healthy,1,4,1
White Rice + Spinach Poriyal,"Rice, raw, milled, Water, Spinach, Onion, big, Coconut, kernel, fresh, Mustard seeds, Chillies, red, Groundnut oil, Table salt (sodium from NaCl)",Tamil Nadu,vegetarian,lunch/dinner,main,99.9,2.4,2.7,16.2,0.179,per 100 g finished dish,400,399.6,9.6,10.8,64.8,0.716,Weighted combination of IFCT-based component dishes,https://www.nin.res.in/ebooks/IFCT2017.pdf,Rice and spinach poriyal combo; per 100 g finished dish.,716,179,healthy,1,4,1
White Rice + Tomato Rasam,"Rice, raw, milled, Water, Tomato, ripe, local, Tamarind, pulp, Garlic, big cloves, Cumin seeds, Pepper, black, Coriander seeds, Curry leaves, Table salt (sodium from NaCl)",Tamil Nadu,vegetarian,lunch/dinner,main,64.5,1.5,0.2,13.9,0.09,per 100 g finished dish,400,258,6,0.8,55.6,0.36,Weighted combination of IFCT-based component dishes,https://www.nin.res.in/ebooks/IFCT2017.pdf,Rice and tomato rasam combo; per 100 g finished dish.,360,90,healthy,1,4,1
White Rice + Vegetable Kurma,"Rice, raw, milled, Water, Garlic, big cloves, Gingelly oil, Carrot, orange, Potato, brown skin, big, Turmeric powder, Table salt (sodium from NaCl), Peas, fresh, Tomato, ripe, local, Coconut, kernel, fresh, Chillies, green - all varieties, Ginger, fresh, Cumin seeds, Onion, big, French beans, country",Tamil Nadu,vegetarian,lunch/dinner,main,81.4,1.8,1.5,14.7,0.084,per 100 g finished dish,400,325.6,7.2,6,58.8,0.336,Weighted combination of IFCT-based component dishes,https://www.nin.res.in/ebooks/IFCT2017.pdf,Rice and vegetable kurma combo; per 100 g finished dish.,336,84,healthy,1,4,1
Sundal,"Chickpea, bengal gram, curry leaves, coconut, mustard seeds, red chilli, table salt, water",Tamil Nadu,vegetarian,snack,snack,164,8.2,4.5,23.5,0.248,per 100 g finished dish,150,246,12.3,6.8,35.2,0.372,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Sundal; standardized Tamil Nadu snack estimate per 100 g finished dish.,372,248,healthy,1,5,3
Boiled Peanuts,"Groundnut, raw, table salt, water",Tamil Nadu,vegetarian,snack,snack,198,8.6,15.2,8.1,0.185,per 100 g finished dish,150,297,12.9,22.8,12.2,0.278,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Boiled Peanuts; standardized Tamil Nadu snack estimate per 100 g finished dish.,278,185,healthy,1,5,3
Murukku,"Rice flour, bengal gram flour, butter, cumin, sesame, table salt, oil",Tamil Nadu,vegetarian,snack,snack,508,7.4,27.8,57.1,0.412,per 100 g finished dish,75,381,5.6,20.8,42.8,0.309,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Murukku; standardized Tamil Nadu snack estimate per 100 g finished dish.,309,412,healthy,1,5,3
Thattai,"Rice flour, bengal gram flour, fried gram, butter, curry leaves, chilli, table salt, oil",Tamil Nadu,vegetarian,snack,snack,486,8.5,22.6,61,0.396,per 100 g finished dish,75,364.5,6.4,17,45.8,0.297,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Thattai; standardized Tamil Nadu snack estimate per 100 g finished dish.,297,396,healthy,1,5,3
Paruppu Vadai,"Bengal gram, onion, fennel, curry leaves, red chilli, table salt, oil",Tamil Nadu,vegetarian,snack,snack,315,12.4,14.6,32.2,0.351,per 100 g finished dish,150,472.5,18.6,21.9,48.3,0.526,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Paruppu Vadai; standardized Tamil Nadu snack estimate per 100 g finished dish.,526,351,healthy,1,5,3
Medu Vada,"Black gram, onion, pepper, curry leaves, table salt, oil",Tamil Nadu,vegetarian,snack,snack,287,7.5,14.1,31.8,0.327,per 100 g finished dish,150,430.5,11.2,21.2,47.7,0.49,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Medu Vada; standardized Tamil Nadu snack estimate per 100 g finished dish.,490,327,healthy,1,5,3
Kara Boondi,"Gram flour, rice flour, chilli powder, curry leaves, table salt, oil",Tamil Nadu,vegetarian,snack,snack,513,8.7,29.4,53.7,0.468,per 100 g finished dish,75,384.8,6.5,22,40.3,0.351,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Kara Boondi; standardized Tamil Nadu snack estimate per 100 g finished dish.,351,468,healthy,1,5,3
Pori Mixture,"Puffed rice, roasted gram, groundnut, curry leaves, chilli, table salt, oil",Tamil Nadu,vegetarian,snack,snack,412,8.1,12.8,66.5,0.372,per 100 g finished dish,75,309,6.1,9.6,49.9,0.279,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Pori Mixture; standardized Tamil Nadu snack estimate per 100 g finished dish.,279,372,healthy,1,5,3
Kozhukattai,"Rice flour, coconut, jaggery, cardamom, water, pinch of salt",Tamil Nadu,vegetarian,snack,snack,221,2.9,4.1,42.8,0.082,per 100 g finished dish,150,331.5,4.4,6.2,64.2,0.123,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Kozhukattai; standardized Tamil Nadu snack estimate per 100 g finished dish.,123,82,healthy,1,5,3
